,copies,accuracy,accuracy_fid
0,1.0,0.9230769,0.9230769
1,2.0,0.9230769,0.9230769
2,3.0,0.9230769,0.9230769
3,4.0,0.9230769,0.9230769
4,5.0,0.9230769,0.9230769
5,6.0,0.9230769,0.9230769
6,7.0,0.9230769,0.9230769
7,8.0,0.9230769,0.9230769
8,9.0,0.9230769,0.9230769
9,10.0,0.9230769,0.9230769
10,11.0,0.9230769,0.9230769
11,12.0,0.9230769,0.9230769
12,13.0,0.9230769,0.9230769
13,14.0,0.9230769,0.9230769
14,15.0,0.9230769,0.9230769
15,16.0,0.9230769,0.9230769
16,17.0,0.9230769,0.9230769
17,18.0,0.9230769,0.9230769
18,19.0,0.9230769,0.9230769
19,20.0,0.9230769,0.9230769
20,21.0,0.9230769,0.9230769
21,22.0,0.9230769,0.9230769
22,23.0,0.9230769,0.9230769
23,24.0,0.9230769,0.9230769
24,25.0,0.9230769,0.9230769
25,26.0,0.9230769,0.9230769
26,27.0,0.9230769,0.9230769
27,28.0,0.9230769,0.9230769
28,29.0,0.9230769,0.9230769
29,30.0,0.9230769,0.9230769
