,copies,accuracy,accuracy_fid
0,1.0,0.6666667,0.6333333
1,2.0,0.6666667,0.6166667
2,3.0,0.6666667,0.6166667
3,4.0,0.65,0.6166667
4,5.0,0.65,0.6166667
5,6.0,0.65,0.6166667
6,7.0,0.65,0.6166667
7,8.0,0.65,0.6166667
8,9.0,0.65,0.6166667
9,10.0,0.65,0.6166667
10,11.0,0.65,0.6166667
11,12.0,0.65,0.6166667
12,13.0,0.65,0.6166667
13,14.0,0.65,0.6166667
14,15.0,0.65,0.6166667
15,16.0,0.65,0.6166667
16,17.0,0.65,0.6166667
17,18.0,0.6666667,0.6166667
18,19.0,0.6666667,0.6166667
19,20.0,0.6666667,0.6166667
20,21.0,0.6666667,0.6166667
21,22.0,0.6666667,0.6166667
22,23.0,0.6666667,0.6333333
23,24.0,0.6666667,0.6333333
24,25.0,0.6666667,0.6333333
25,26.0,0.6666667,0.6333333
26,27.0,0.6666667,0.6333333
27,28.0,0.6666667,0.6333333
28,29.0,0.6666667,0.6333333
29,30.0,0.6666667,0.6333333
