,Copies,Helstrom sim,Fidelity sim
0,1,0.38012132965230355,0.3431485485546252
0,2,0.351265679356175,0.33656413708911137
0,3,0.2992505468124827,0.29219873665271645
0,4,0.2501441446555728,0.2464433073363496
0,5,0.2082781878605738,0.2062319627123109
0,6,0.1735430337509538,0.17237330346538104
0,7,0.14491817273005292,0.1442343867982782
0,8,0.12132922412836648,0.12092336393407455
0,9,0.10184669178891609,0.10160330320394688
0,10,0.08570920796976479,0.08556229340593054
0,11,0.07230284683903566,0.07221385471359089
0,12,0.061133694071255296,0.06107974015268507
0,13,0.051803408421899115,0.05177074569198306
0,14,0.043989479286936396,0.043969777972123696
0,15,0.037429730533472,0.03741791362011724
0,16,0.03191022044199892,0.03190318301581511
0,17,0.02725576172045896,0.02725160309987671
0,18,0.023322449366917564,0.023320007824088218
0,19,0.019991733637627306,0.019990302139564892
0,20,0.01716569119200359,0.017164842655908515
0,21,0.014763232972963024,0.014762712380897882
0,22,0.012717049888561333,0.01271670751716181
0,23,0.01097114334601633,0.010970893420819507
0,24,0.009478821921121003,0.009478617055106076
0,25,0.008201071260384357,0.008200886714561475
0,26,0.007105224015106856,0.007105048074836707
0,27,0.006163871800251934,0.006163699954665418
0,28,0.005353972989991887,0.0053538044681543055
0,29,0.004656119421708034,0.0046559551802286886
0,30,0.0040539323782247646,0.004053773974176684
0,31,0.0035335639984208004,0.003533412994542467
0,32,0.0030832848640155244,0.003083142547206365
0,33,0.002693142180772469,0.0026930094591611784
0,34,0.0023546759120375675,0.002354553308762328
0,35,0.002060682583909141,0.0020605702787641136
0,36,0.0018050183832145218,0.0018049162737962961
0,37,0.0015824347051200211,0.0015823424716786179
0,38,0.0013884405500218763,0.0013883577158213254
0,39,0.0012191871774397743,0.0012191131609266394
0,40,0.0010713712440208918,0.0010713054016670562
0,41,0.0009421533201412649,0.0009420949802172212
0,42,0.0008290892242180958,0.0008290377124346706
0,43,0.0007300720591559762,0.0007300267173804457
0,44,0.0006432832001167106,0.0006432433994048246
0,45,0.0005671507821452555,0.0005671159312451683
0,46,0.0005003144822617167,0.000500284032604798
0,47,0.00044159559328174576,0.00044156904131746513
0,48,0.0003899715537948937,0.00038994844137278645
0,49,0.0003445542368661353,0.00034453415022821254
0,50,0.0003045714143556385,0.00030455398218154003
0,51,0.00026935090854010503,0.0002693357993856248
0,52,0.0002383070214292412,0.00023829394081559046
0,53,0.00021092889763945407,0.0002109175849835599
0,54,0.00018677053122730442,0.00018676075675049667
0,55,0.0001654421723937652,0.0001654337341048997
0,56,0.00014660292800407914,0.0001465956488214643
0,57,0.000129954381703422,0.00012994810675597075
0,58,0.00011523508609810898,0.00011522968022833014
0,59,0.0001022158018819549,0.00010221114736042038
0,60,9.069537763331614e-05,9.06913720850109e-05
0,61,8.049717988052073e-05,8.049373441710923e-05
0,62,7.146599642245836e-05,7.146303397030856e-05
0,63,6.346534720187224e-05,6.346280101310048e-05
0,64,5.6375146598265416e-05,5.6372958930678896e-05
0,65,5.00896691161292e-05,5.008779006741854e-05
0,66,4.4515777324233975e-05,4.4514163805841586e-05
0,67,3.957137674918521e-05,3.956999158576261e-05
0,68,3.518406740197071e-05,3.518287854309067e-05
0,69,3.128996585704167e-05,3.1288945688742975e-05
0,70,2.783267542224897e-05,2.7831800166980602e-05
0,71,2.4762385030919756e-05,2.4761634225472415e-05
0,72,2.2035080133864166e-05,2.203443617587765e-05
0,73,1.9611851137106716e-05,1.961129889170791e-05
0,74,1.745828687714556e-05,1.745781333617985e-05
0,75,1.5543942297281487e-05,1.5543536284444458e-05
0,76,1.3841870926804565e-05,1.3841522842753972e-05
0,77,1.2328214003471299e-05,1.2327915605702861e-05
0,78,1.0981839147823953e-05,1.0981583360728449e-05
0,79,9.784022420139199e-06,9.783803171226024e-06
0,80,8.718168387830377e-06,8.717980466608764e-06
0,81,7.769563520894063e-06,7.769402457352217e-06
0,82,6.92515883048402e-06,6.925020790502417e-06
0,83,6.173378183843835e-06,6.17325987922779e-06
0,84,5.5039491786270825e-06,5.503847789750307e-06
0,85,4.907753850502505e-06,4.907666959821072e-06
0,86,4.3766968279203026e-06,4.376622362850333e-06
0,87,3.9035888439189465e-06,3.903525027775886e-06
0,88,3.4820437727911803e-06,3.4819890826653785e-06
0,89,3.106387584432146e-06,3.106340715029932e-06
0,90,2.7715778055789908e-06,2.7715376381919152e-06
0,91,2.4731322487647443e-06,2.4730978246455927e-06
0,92,2.20706591984582e-06,2.20703641736995e-06
0,93,1.969835146268322e-06,1.969809861345654e-06
0,94,1.7582880832156538e-06,1.7582664124931827e-06
0,95,1.5696208555518014e-06,1.5696022820111484e-06
0,96,1.4013386818422928e-06,1.4013227624522968e-06
0,97,1.2512214042817317e-06,1.2512077594139972e-06
0,98,1.1172929164592117e-06,1.1172812208157702e-06
0,99,9.977940407253547e-07,9.977840155630556e-07
0,100,8.911584595337608e-07,8.91149866000524e-07
