,Copies,Helstrom sim,Fidelity sim
0,1,0.04050037910744326,0.0036050801743389305
0,2,0.057082328412573595,0.007189427424949891
0,3,0.0696756589004712,0.010752015400337652
0,4,0.08018449475017003,0.014291895308184909
0,5,0.08934936987056002,0.017808191643451484
0,6,0.09755158270350602,0.021300098140488923
0,7,0.1050185423033022,0.02476687393743267
0,8,0.11189901014160712,0.02820783994173744
0,9,0.11829673075314225,0.03162237538633473
0,10,0.12428754332320607,0.035009914566420004
0,11,0.1299289298618983,0.03836994374743475
0,12,0.13526572625379055,0.041701998235280806
0,13,0.1403337290194614,0.04500565960030228
0,14,0.14516207508279316,0.048280553046991935
0,15,0.14977486963823142,0.051526344921829455
0,16,0.1541923339045037,0.05474274035203343
0,17,0.15843163549830308,0.057929481008415266
0,18,0.16250750269564723,0.06108634298585716
0,19,0.16643268771729405,0.06421313479529103
0,20,0.17021832215357363,0.06730969546138017
