,copies,accuracy,accuracy_fid
0,1.0,0.625,0.625
1,2.0,0.625,0.625
2,3.0,0.625,0.625
3,4.0,0.6875,0.625
4,5.0,0.6875,0.625
5,6.0,0.6875,0.6875
6,7.0,0.6875,0.6875
7,8.0,0.6875,0.6875
8,9.0,0.6875,0.6875
9,10.0,0.6875,0.6875
10,11.0,0.6875,0.6875
11,12.0,0.6875,0.6875
12,13.0,0.75,0.6875
13,14.0,0.75,0.75
14,15.0,0.75,0.75
15,16.0,0.75,0.75
16,17.0,0.75,0.75
17,18.0,0.75,0.75
18,19.0,0.75,0.75
19,20.0,0.75,0.75
20,21.0,0.75,0.75
21,22.0,0.8125,0.75
22,23.0,0.75,0.8125
23,24.0,0.8125,0.75
24,25.0,0.8125,0.8125
25,26.0,0.8125,0.8125
26,27.0,0.75,0.75
27,28.0,0.8125,0.8125
28,29.0,0.75,0.75
29,30.0,0.75,0.75
